Package_Item,Description,Status,Responsible,Due_Date,Completion_Date,Authority_Review,Notes
SAS_Software,Software Accomplishment Summary (SAS),Not Started,Software Manager,,,,"Complete with all DO-178C evidence"
HAS_Hardware,Hardware Accomplishment Summary (HAS),Not Started,Hardware Manager,,,,"Complete with all DO-254 evidence"
System_Compliance_Summary,System-level compliance summary,Not Started,Systems Engineering,,,,"ARP4754A/ARP4761 compliance"
Certification_Plans_Final,Final versions of all certification plans,Not Started,Certification Manager,,,,"PSAC, PHAC, CMP, MAP as executed"
Compliance_Checklists_Complete,All compliance checklists 100% complete,Not Started,Certification Manager,,,,"All objectives satisfied and verified"
SoC_Requirements,Final Statement of Compliance - Requirements,Not Started,Systems Engineering,,,,"All requirements verified"
SoC_Tests,Final Statement of Compliance - Tests,Not Started,V&V Manager,,,,"All tests executed and passed"
SoC_Analysis,Final Statement of Compliance - Analysis,Not Started,Engineering Manager,,,,"All analyses complete and correct"
SoC_Process,Final Statement of Compliance - Process,Not Started,QA Manager,,,,"All processes compliant"
SoC_Tools,Final Statement of Compliance - Tool Qualification,Not Started,Tool Coordinator,,,,"All tools qualified or output verified"
Evidence_Index_Complete,Complete evidence index,Not Started,Certification Manager,,,,"All evidence cataloged and accessible"
Traceability_Matrix_Final,Final requirements traceability matrix,Not Started,Systems Engineering,,,,"End-to-end traceability verified"
Test_Results_Complete,All test results documented,Not Started,V&V Manager,,,,"Test reports and data packages"
Analysis_Reports_Complete,All analysis reports complete,Not Started,Engineering Manager,,,,"Safety, performance, timing analyses"
Review_Records,All review records,Not Started,QA Manager,,,,"Design reviews, code reviews, test reviews"
Audit_Records,Internal and external audit records,Not Started,QA Manager,,,,"QA audits and authority audits"
Problem_Reports_Closed,All critical problem reports closed,Not Started,Engineering Manager,,,,"Open PRs documented and justified"
NCR_Closed,All critical nonconformances closed,Not Started,QA Manager,,,,"NCRs resolved or risk-accepted"
CM_Records,Configuration management records,Not Started,CM Manager,,,,"Baselines, change history, archives"
CM_Audit,Configuration audit report,Not Started,CM Manager,,,,"Physical and functional configuration audit"
Tool_Qualification_Complete,All tool qualification packages complete,Not Started,Tool Coordinator,,,,"TQS for all qualified tools"
Safety_Case,Safety case complete (if required),Not Started,Safety Engineering,,,,"Safety compliance demonstration"
TCDS_Draft,Type Certificate Data Sheet (draft),Not Started,Certification Manager,,,,"For aviation products"
ICA,Instructions for Continued Airworthiness,Not Started,Engineering Manager,,,,"Maintenance and operations information"
Authority_Findings_Closed,All authority findings closed,Not Started,Certification Manager,,,,"Finding closure evidence"
Authority_Questions_Answered,All authority questions answered,Not Started,Certification Manager,,,,"Q&A records complete"
Authority_Issue_Papers,All issue papers resolved,Not Started,Certification Manager,,,,"Complex compliance topics addressed"
Conformity_Review_Report,Final conformity review report,Not Started,QA Manager,,,,"Independent conformity verification"
Certification_Audit_Report,Certification authority audit report,Not Started,Certification Manager,,,,"Final authority audit results"
Deviations_Documented,All deviations documented and approved,Not Started,Certification Manager,,,,"Alternative means of compliance"
Certification_Basis_Final,Final certification basis document,Not Started,Certification Manager,,,,"As-certified basis"
Product_Baseline_Final,Final product baseline,Not Started,CM Manager,,,,"As-certified configuration"
Software_Load_Archive,Software load archive,Not Started,Software CM,,,,"Certified software version"
Hardware_Build_Record,Hardware build record,Not Started,Hardware CM,,,,"As-built hardware configuration"
Certification_Report,Overall certification summary report,Not Started,Certification Manager,,,,"Executive summary for management"
Type_Certificate_Application,Type Certificate application package,Not Started,Certification Manager,,,,"Final submittal to authority"
