Objective_ID,Standard,Section,Objective_Description,DAL_Level,Applicability,Compliance_Method,Evidence_Reference,Status,Verified_By,Verified_Date,Authority_Review,Notes
A-1.1,DO-178C,Table A-1,Software high-level requirements comply with system requirements,A-B-C-D,Applicable,Review,,,,,,"Requirements traceability and consistency verification"
A-1.2,DO-178C,Table A-1,High-level requirements are accurate and consistent,A-B-C-D,Applicable,Review,,,,,,"Requirements quality review"
A-1.3,DO-178C,Table A-1,High-level requirements are compatible with target computer,A-B-C-D,Applicable,Review+Analysis,,,,,,"Target hardware compatibility analysis"
A-1.4,DO-178C,Table A-1,High-level requirements are verifiable,A-B-C-D,Applicable,Review,,,,,,"Each requirement must be testable"
A-1.5,DO-178C,Table A-1,High-level requirements conform to standards,A-B-C-D,Applicable,Review,,,,,,"Standards compliance verification"
A-1.6,DO-178C,Table A-1,High-level requirements are traceable to system requirements,A-B-C-D,Applicable,Review,,,,,,"Bidirectional traceability"
A-1.7,DO-178C,Table A-1,Algorithms are accurate,A-B-C-D,Applicable,Analysis+Review,,,,,,"Algorithm validation and verification"
A-2.1,DO-178C,Table A-2,Low-level requirements comply with high-level requirements,A-B-C,Applicable,Review,,,,,,"Requirements decomposition verification"
A-2.2,DO-178C,Table A-2,Low-level requirements are accurate and consistent,A-B-C,Applicable,Review,,,,,,"Low-level requirements quality"
A-2.3,DO-178C,Table A-2,Low-level requirements are compatible with target computer,A-B-C,Applicable,Review+Analysis,,,,,,"Target hardware compatibility"
A-2.4,DO-178C,Table A-2,Low-level requirements are verifiable,A-B-C,Applicable,Review,,,,,,"Test case development feasibility"
A-2.5,DO-178C,Table A-2,Low-level requirements conform to standards,A-B-C,Applicable,Review,,,,,,"Standards compliance"
A-2.6,DO-178C,Table A-2,Low-level requirements are traceable to high-level requirements,A-B-C,Applicable,Review,,,,,,"Bidirectional traceability"
A-2.7,DO-178C,Table A-2,Algorithms are accurate,A-B-C,Applicable,Analysis+Review,,,,,,"Algorithm implementation verification"
A-3.1,DO-178C,Table A-3,Software architecture is consistent with high-level requirements,A-B-C,Applicable,Review,,,,,,"Architecture-to-requirements consistency"
A-3.2,DO-178C,Table A-3,Software architecture is consistent with low-level requirements,A-B-C,Applicable,Review,,,,,,"Architecture detail verification"
A-3.3,DO-178C,Table A-3,Software architecture is compatible with target computer,A-B-C,Applicable,Analysis,,,,,,"Resource usage and timing analysis"
A-3.4,DO-178C,Table A-3,Software architecture is verifiable,A-B-C,Applicable,Review,,,,,,"Architecture testability"
A-3.5,DO-178C,Table A-3,Software architecture conforms to standards,A-B-C,Applicable,Review,,,,,,"Architecture standards compliance"
A-3.6,DO-178C,Table A-3,Software architecture is traceable to high-level requirements,A-B-C,Applicable,Review,,,,,,"Architecture traceability"
A-3.7,DO-178C,Table A-3,Algorithms are accurate,A-B-C,Applicable,Analysis,,,,,,"Architecture-level algorithm verification"
A-4.1,DO-178C,Table A-4,Source code complies with low-level requirements,A-B-C-D,Applicable,Review,,,,,,"Code-to-requirements compliance"
A-4.2,DO-178C,Table A-4,Source code complies with software architecture,A-B-C,Applicable,Review,,,,,,"Code-to-architecture compliance"
A-4.3,DO-178C,Table A-4,Source code is verifiable,A-B-C-D,Applicable,Review,,,,,,"Code testability and clarity"
A-4.4,DO-178C,Table A-4,Source code conforms to standards,A-B-C-D,Applicable,Review,,,,,,"Coding standards compliance"
A-4.5,DO-178C,Table A-4,Source code is traceable to low-level requirements,A-B-C,Applicable,Review,,,,,,"Code traceability"
A-4.6,DO-178C,Table A-4,Source code is accurate and consistent,A-B-C-D,Applicable,Review,,,,,,"Code quality verification"
