Clause,Description,Applicability,Rationale,Compliance_Method,Compliance_Evidence,Status,Notes
ECSS-E-ST-10C-4.1,Mission analysis,FULL,Mission analysis performed,DOCUMENT,MIS-ANALYSIS Mission Analysis Report,COMPLIANT,
ECSS-E-ST-10C-4.2,System requirements,FULL,Requirements captured,DOCUMENT,SPACE-SRD System Requirements Document,IN-PROGRESS,
ECSS-E-ST-10C-4.3,System architecture,FULL,Architecture developed,DOCUMENT,SPACE-ARCH Architecture Document,IN-PROGRESS,
ECSS-E-ST-10C-4.4,System design,FULL,Design per ECSS,DOCUMENT,SPACE-DJF Design Justification File,NOT-STARTED,
ECSS-E-ST-10-02C-4,Verification requirements,FULL,Verification planned,DOCUMENT,SPACE-VCD Verification Control Document,IN-PROGRESS,
ECSS-E-ST-10-02C-5,Verification methods,FULL,RIAT methods used,DOCUMENT,SPACE-VCD Verification Control Document,IN-PROGRESS,
ECSS-E-ST-10-03C-4,Test planning,FULL,Test plans developed,DOCUMENT,SPACE-TP Test Plan,IN-PROGRESS,
ECSS-E-ST-10-03C-5,Test execution,PARTIAL,Not yet at test phase,TEST,SPACE-TR Test Reports,NOT-STARTED,
ECSS-E-ST-40C-5,Software requirements,FULL,Software requirements defined,DOCUMENT,SPACE-SWRD Software Requirements,IN-PROGRESS,
ECSS-E-ST-40C-6,Software design,PARTIAL,Design in progress,DOCUMENT,SPACE-SDD Software Design Document,IN-PROGRESS,
ECSS-Q-ST-70C-4,Materials selection,FULL,Materials selected per standard,DOCUMENT,SPACE-MPL Materials and Processes List,IN-PROGRESS,
ECSS-Q-ST-60C-4,EEE component selection,FULL,Components selected per standard,DOCUMENT,SPACE-PPL Preferred Parts List,IN-PROGRESS,
ECSS-Q-ST-20C-5,Quality assurance,FULL,QA per ECSS,DOCUMENT,PRO-100 Quality Management System,COMPLIANT,
