standard_id,clause,requirement_id,coverage_type,verification_method
STD-001,4.1.1,SYS-REQ-001,FULL,REVIEW
STD-001,4.2.1,SYS-REQ-002,FULL,REVIEW
STD-001,5.1.1,SYS-REQ-010,FULL,ANALYSIS
STD-001,5.1.2,SYS-REQ-011,FULL,REVIEW
STD-001,5.2.1,SYS-REQ-012,FULL,ANALYSIS
STD-002,4.2.1,SYS-REQ-100,FULL,ANALYSIS
STD-002,4.2.2,SYS-REQ-101,FULL,ANALYSIS
STD-002,4.3.1,SYS-REQ-102,FULL,ANALYSIS
STD-003,6.3.1a,SW-REQ-001,FULL,TEST
STD-003,6.3.1b,SW-REQ-002,FULL,TEST
STD-003,6.3.2a,SW-REQ-003,FULL,REVIEW
STD-003,6.3.3a,SW-REQ-004,FULL,INSPECTION
STD-004,5.1.1,HW-REQ-001,FULL,REVIEW
STD-004,5.1.2,HW-REQ-002,FULL,ANALYSIS
STD-004,5.2.1,HW-REQ-003,FULL,TEST
STD-005,Section 16.0,ENV-REQ-001,FULL,TEST
STD-005,Section 20.0,ENV-REQ-002,FULL,TEST
STD-005,Section 21.0,ENV-REQ-003,FULL,TEST
STD-012,4.2,SPACE-SYS-001,FULL,REVIEW
STD-012,4.3,SPACE-SYS-002,FULL,ANALYSIS
STD-013,5.1,SPACE-SW-001,FULL,TEST
STD-013,5.2,SPACE-SW-002,FULL,REVIEW
STD-019,6.1,MBSE-REQ-001,FULL,REVIEW
STD-019,6.2,MBSE-REQ-002,FULL,INSPECTION
STD-022,4.1,DATA-REQ-001,FULL,INSPECTION
STD-023,8.1,QMS-REQ-001,FULL,REVIEW
