Month,ProjectsSaved,MonthlySavings_USD,CumulativeSavings_USD,MaterialSavings,ProcessSavings,FreightSavings,OtherSavings,AnnualTarget_USD
2024-01,2,8500,8500,5000,2500,1000,0,600000
2024-02,1,12000,20500,8000,0,4000,0,600000
2024-03,3,18500,39000,10000,5000,2500,1000,600000
2024-04,2,15000,54000,9000,4000,2000,0,600000
2024-05,1,22000,76000,15000,5000,2000,0,600000
2024-06,2,19500,95500,12000,4500,3000,0,600000
2024-07,3,25000,120500,14000,8000,2000,1000,600000
2024-08,2,28000,148500,18000,7000,3000,0,600000
2024-09,1,16500,165000,10000,4000,2500,0,600000
2024-10,2,23500,188500,15000,6000,2500,0,600000
2024-11,3,31000,219500,20000,8000,3000,0,600000
2024-12,2,27500,247000,18000,6500,3000,0,600000
