Month,TotalDeliveries,OnTimeDeliveries,OTD_Pct,InFullDeliveries,OTIF_Pct,LateBy1-3Days,LateBy4-7Days,LateByOver7Days,PartialDeliveries
2024-01,245,232,94.7%,228,93.1%,8,3,2,17
2024-02,258,241,93.4%,236,91.5%,11,4,2,22
2024-03,272,261,96.0%,255,93.8%,7,3,1,17
2024-04,265,254,95.8%,248,93.6%,8,2,1,17
2024-05,280,268,95.7%,263,93.9%,9,2,1,17
2024-06,290,279,96.2%,274,94.5%,8,2,1,16
2024-07,285,275,96.5%,270,94.7%,7,2,1,15
2024-08,295,286,97.0%,281,95.3%,6,2,1,14
2024-09,300,292,97.3%,287,95.7%,5,2,1,13
2024-10,305,298,97.7%,293,96.1%,4,2,1,12
2024-11,310,304,98.1%,299,96.5%,3,2,1,11
2024-12,315,310,98.4%,305,96.8%,2,2,1,10
