Month,TotalQtyReceived,QtyRejected,PPM,CriticalDefects,MajorDefects,MinorDefects,SupplierWith0Defects,Target_PPM
2024-01,125000,88,704,2,18,68,12,500
2024-02,132000,75,568,1,15,59,14,500
2024-03,140000,69,493,1,12,56,16,500
2024-04,138000,61,442,0,11,50,18,500
2024-05,145000,58,400,0,10,48,20,500
2024-06,150000,52,347,0,8,44,22,500
2024-07,148000,48,324,0,7,41,24,500
2024-08,155000,45,290,0,6,39,26,500
2024-09,160000,42,263,0,5,37,28,500
2024-10,162000,38,235,0,4,34,30,500
2024-11,165000,35,212,0,3,32,32,500
2024-12,170000,32,188,0,3,29,34,500
