vl_id,source_lru,dest_lru,bag_ms,jitter_us,bandwidth_kbps,priority,redundancy,functional_chain
VL-001,FCC-1,ACE-1,10,100,1000,High,Dual,FC-001
VL-002,FCC-2,ACE-2,10,100,1000,High,Dual,FC-001
VL-003,FMS-1,DISPLAY-1,100,500,500,Medium,Single,FC-002
VL-004,GPS-1,FMS-1,100,500,250,Medium,Dual,FC-002
VL-005,IRS-1,FMS-1,50,300,500,Medium,Dual,FC-002
VL-006,FADEC-1,ENG-ECU-1,20,150,750,High,Dual,FC-003
VL-007,FADEC-2,ENG-ECU-2,20,150,750,High,Dual,FC-003
VL-008,AVIONICS-1,DISPLAY-1,50,400,2000,Medium,Single,Multiple
VL-009,FCC-1,FCC-2,5,50,1500,Critical,Dual,FC-001
VL-010,HYD-CTRL-1,DISPLAY-1,200,1000,100,Low,Single,FC-004
VL-011,FIRE-DET-1,FIRE-SUPP-1,50,200,200,Critical,Dual,FC-008
VL-012,ADC-1,FCC-1,20,150,300,High,Dual,FC-012
VL-013,ADC-1,FMS-1,50,300,300,Medium,Dual,FC-002
VL-014,COMMS-1,AVIONICS-1,100,800,1000,Medium,Single,FC-015
VL-015,WX-RADAR-1,DISPLAY-1,500,2000,5000,Low,Single,FC-014
VL-016,BRAKE-CTRL-1,BRAKE-ACT-1,30,200,500,Critical,Dual,FC-016
VL-017,FLAP-CTRL-1,FLAP-ACT-1,100,500,400,High,Dual,FC-017
VL-018,PRESS-CTRL-1,DISPLAY-1,200,1000,150,Medium,Single,FC-009
VL-019,FUEL-MGMT-1,DISPLAY-1,500,2000,100,Low,Single,FC-011
VL-020,AP-CTRL-1,FCC-1,50,300,800,High,Dual,FC-013
