lru,lru_port,switch,switch_port,cable_type,cable_length_m,redundancy_group,zone
FCC-1,ETH1,AFDX-SW-1,P01,CAT6A-STP,5.2,A,Zone-A1
FCC-1,ETH2,AFDX-SW-2,P01,CAT6A-STP,5.5,B,Zone-A1
FCC-2,ETH1,AFDX-SW-1,P02,CAT6A-STP,5.8,A,Zone-A2
FCC-2,ETH2,AFDX-SW-2,P02,CAT6A-STP,6.1,B,Zone-A2
FMS-1,ETH1,AFDX-SW-1,P03,CAT6A-STP,4.5,A,Zone-B1
FMS-1,ETH2,AFDX-SW-2,P03,CAT6A-STP,4.8,B,Zone-B1
AVIONICS-1,ETH1,AFDX-SW-1,P04,CAT6A-STP,3.2,A,Zone-B2
GPS-1,ETH1,AFDX-SW-2,P04,CAT6A-STP,6.5,B,Zone-C1
GPS-2,ETH1,AFDX-SW-1,P05,CAT6A-STP,6.8,A,Zone-C2
IRS-1,ETH1,AFDX-SW-2,P05,CAT6A-STP,5.5,B,Zone-D1
IRS-2,ETH1,AFDX-SW-1,P06,CAT6A-STP,5.8,A,Zone-D2
FADEC-1,ETH1,AFDX-SW-2,P06,CAT6A-STP,8.5,B,Zone-E1
FADEC-2,ETH1,AFDX-SW-1,P07,CAT6A-STP,8.8,A,Zone-E2
DISPLAY-1,ETH1,AFDX-SW-2,P07,CAT6A-STP,4.2,B,Zone-F1
DISPLAY-2,ETH1,AFDX-SW-1,P08,CAT6A-STP,4.5,A,Zone-F2
ACE-1,ETH1,AFDX-SW-1,P09,CAT6A-STP,7.2,A,Zone-G1
ACE-1,ETH2,AFDX-SW-2,P08,CAT6A-STP,7.5,B,Zone-G1
ACE-2,ETH1,AFDX-SW-1,P10,CAT6A-STP,7.8,A,Zone-G2
ACE-2,ETH2,AFDX-SW-2,P09,CAT6A-STP,8.1,B,Zone-G2
HYD-CTRL-1,ETH1,AFDX-SW-2,P10,CAT6A-STP,6.0,B,Zone-H1
BRAKE-CTRL-1,ETH1,AFDX-SW-1,P11,CAT6A-STP,9.5,A,Zone-I1
BRAKE-CTRL-1,ETH2,AFDX-SW-2,P11,CAT6A-STP,9.8,B,Zone-I1
FIRE-DET-1,ETH1,AFDX-SW-1,P12,CAT6A-STP,5.5,A,Zone-J1
FIRE-DET-1,ETH2,AFDX-SW-2,P12,CAT6A-STP,5.8,B,Zone-J1
COMMS-1,ETH1,AFDX-SW-2,P13,CAT6A-STP,4.8,B,Zone-K1
WX-RADAR-1,ETH1,AFDX-SW-1,P13,CAT6A-STP,6.2,A,Zone-L1
