system,lru_id,nominal_dissipation_w,max_dissipation_w,cooling_method,airflow_cfm,temp_ambient_c,temp_max_internal_c,thermal_margin_c,zone,notes
FCC-1,FCC-001,40,55,Forced air,20,25,75,10,Zone-A1,Avionics bay cooling
FCC-2,FCC-002,40,55,Forced air,20,25,75,10,Zone-A2,Avionics bay cooling
ACE-1,ACE-003,70,110,Forced air,35,25,80,5,Zone-G1,High power electronics
ACE-2,ACE-004,70,110,Forced air,35,25,80,5,Zone-G2,High power electronics
FMS-1,FMS-005,30,45,Forced air,15,25,75,10,Zone-B1,Avionics bay cooling
GPS-1,GPS-006,12,18,Conduction,N/A,25,70,15,Zone-C1,Conduction to mounting
GPS-2,GPS-007,12,18,Conduction,N/A,25,70,15,Zone-C2,Conduction to mounting
IRS-1,IRS-008,35,50,Forced air,18,25,75,10,Zone-D1,Avionics bay cooling
IRS-2,IRS-009,35,50,Forced air,18,25,75,10,Zone-D2,Avionics bay cooling
FADEC-1,FADEC-010,55,85,Forced air,30,55,95,-10,Zone-E1,Engine bay - high ambient temp
FADEC-2,FADEC-011,55,85,Forced air,30,55,95,-10,Zone-E2,Engine bay - high ambient temp
ENG-ECU-1,ECU-012,45,70,Forced air,25,55,95,-10,Zone-E1,Engine bay - high ambient temp
ENG-ECU-2,ECU-013,45,70,Forced air,25,55,95,-10,Zone-E2,Engine bay - high ambient temp
DISPLAY-1,DISP-014,60,90,Forced air,25,25,70,15,Zone-F1,Cockpit cooling
DISPLAY-2,DISP-015,60,90,Forced air,25,25,70,15,Zone-F2,Cockpit cooling
AVIONICS-1,AVION-016,110,170,Forced air,50,25,75,10,Zone-B2,Avionics bay cooling
ADC-1,ADC-017,20,30,Conduction,N/A,25,70,15,Zone-H1,Conduction to mounting
ADC-2,ADC-018,20,30,Conduction,N/A,25,70,15,Zone-H2,Conduction to mounting
HYD-CTRL-1,HYD-019,25,40,Forced air,15,35,80,5,Zone-H1,Wheel well - moderate ambient
BRAKE-CTRL-1,BRK-020,35,55,Forced air,20,35,80,5,Zone-I1,Wheel well - moderate ambient
FIRE-DET-1,FIRE-021,15,25,Conduction,N/A,35,85,0,Zone-J1,Fire zone - high ambient
FIRE-SUPP-1,FIRE-022,25,45,Conduction,N/A,35,85,0,Zone-J1,Fire zone - high ambient
FUEL-MGMT-1,FUEL-023,30,45,Forced air,15,25,75,10,Zone-K1,Avionics bay cooling
COMMS-1,COMM-024,50,75,Forced air,22,25,75,10,Zone-K1,Avionics bay cooling
WX-RADAR-1,WXR-025,140,190,Forced air,60,25,80,5,Zone-L1,High power radar
PRESS-CTRL-1,PRESS-026,35,55,Forced air,18,25,75,10,Zone-M1,Avionics bay cooling
LG-CTRL-1,LG-027,30,50,Forced air,15,35,80,5,Zone-N1,Wheel well - moderate ambient
OXY-CTRL-1,OXY-028,20,35,Conduction,N/A,25,70,15,Zone-O1,Conduction to mounting
IMA-CORE-1,IMA-029,180,280,Forced air,70,25,75,10,Zone-B1,High power compute module
IMA-CORE-2,IMA-030,180,280,Forced air,70,25,75,10,Zone-B2,High power compute module
AFDX-SW-1,SW-031,70,110,Forced air,30,25,75,10,Zone-P1,Avionics bay cooling
AFDX-SW-2,SW-032,70,110,Forced air,30,25,75,10,Zone-P2,Avionics bay cooling
TOTAL,,1589,2430,,600,,,,,"Total dissipation, airflow is sum"
