icd_id,icd_title,config_mgmt_path,version,status,gate_approved,criticality
ICD-0001,Aircraft-Propulsion System,00-PROGRAM/CONFIG_MGMT/09-INTERFACES/ICD-0001.md,1.0,Approved,PDR,Critical
ICD-0003,Avionics-Flight Control,00-PROGRAM/CONFIG_MGMT/09-INTERFACES/ICD-0003.md,1.2,Approved,PDR,Critical
ICD-0004,Power System,00-PROGRAM/CONFIG_MGMT/09-INTERFACES/ICD-0004.md,1.0,Draft,CDR,Critical
ICD-0005,Navigation-FMS,00-PROGRAM/CONFIG_MGMT/09-INTERFACES/ICD-0005.md,1.1,Approved,PDR,High
ICD-0006,Engine-FADEC,00-PROGRAM/CONFIG_MGMT/09-INTERFACES/ICD-0006.md,1.0,Approved,PDR,Critical
ICD-0015,Flight Control-Actuator,00-PROGRAM/CONFIG_MGMT/09-INTERFACES/ICD-0015.md,1.1,Approved,PDR,Critical
ICD-0021,GPS-FMS,00-PROGRAM/CONFIG_MGMT/09-INTERFACES/ICD-0021.md,1.2,Approved,PDR,High
ICD-0022,IRS-FMS,00-PROGRAM/CONFIG_MGMT/09-INTERFACES/ICD-0022.md,1.1,Approved,PDR,High
ICD-0023,Air Data-Avionics,00-PROGRAM/CONFIG_MGMT/09-INTERFACES/ICD-0023.md,1.0,Draft,CDR,Critical
ICD-0031,Throttle-FADEC,00-PROGRAM/CONFIG_MGMT/09-INTERFACES/ICD-0031.md,1.0,Approved,PDR,Critical
ICD-0032,FADEC-Engine ECU,00-PROGRAM/CONFIG_MGMT/09-INTERFACES/ICD-0032.md,1.1,Approved,PDR,Critical
ICD-0041,Hydraulic Sensor,00-PROGRAM/CONFIG_MGMT/09-INTERFACES/ICD-0041.md,1.0,Draft,CDR,High
