system,total_defects,critical_defects,major_defects,minor_defects,kloc,defect_density_per_kloc,status
Flight Control (FCC),8,0,2,6,45,0.18,GREEN
Navigation (FMS),12,0,3,9,68,0.18,GREEN
Engine Monitoring (FADEC),6,0,1,5,32,0.19,GREEN
Display Driver,15,0,4,11,95,0.16,GREEN
IMA Core OS,22,0,6,16,150,0.15,GREEN
Air Data (ADC),4,0,1,3,18,0.22,YELLOW
Fire Detection,3,0,0,3,12,0.25,YELLOW
Hydraulic Control,5,0,1,4,28,0.18,GREEN
Fuel Management,7,0,2,5,42,0.17,GREEN
System Health Monitor,9,0,2,7,55,0.16,GREEN
TOTAL,91,0,22,69,545,0.17,GREEN
