functional_chain,total_requirements,requirements_traced,interfaces_traced,tests_executed,tests_passed,evidence_complete,coverage_percent,status
FC-001,25,25,4,15,15,Yes,100,GREEN
FC-002,18,18,3,12,12,Yes,100,GREEN
FC-003,22,22,4,14,14,Yes,100,GREEN
FC-004,12,12,2,8,8,Yes,100,GREEN
FC-005,20,20,3,13,13,Yes,100,GREEN
FC-006,15,15,2,10,10,Yes,100,GREEN
FC-007,10,10,1,6,6,Yes,100,GREEN
FC-008,14,14,2,9,9,Yes,100,GREEN
FC-009,16,16,2,10,10,Yes,100,GREEN
FC-010,13,13,2,8,8,Yes,100,GREEN
FC-011,8,8,1,5,5,Yes,100,GREEN
FC-012,17,17,3,11,11,Yes,100,GREEN
FC-013,19,19,3,12,12,Yes,100,GREEN
FC-014,7,7,1,4,4,Yes,100,GREEN
FC-015,9,9,2,6,6,Yes,100,GREEN
FC-016,21,21,3,13,13,Yes,100,GREEN
FC-017,18,18,3,11,11,Yes,100,GREEN
FC-018,11,11,1,7,7,Yes,100,GREEN
FC-019,6,6,1,3,3,Yes,100,GREEN
FC-020,5,5,1,3,3,Yes,100,GREEN
TOTAL,286,286,44,180,180,100%,100,GREEN
