functional_chain,latency_budget_ms,measured_latency_ms,margin_ms,margin_percent,trend,status
FC-001,40,32,8,20,Stable,GREEN
FC-002,150,110,40,27,Stable,GREEN
FC-003,50,42,8,16,Increasing,YELLOW
FC-004,100,70,30,30,Stable,GREEN
FC-005,80,64,16,20,Stable,GREEN
FC-006,200,160,40,20,Stable,GREEN
FC-007,300,240,60,20,Stable,GREEN
FC-008,100,75,25,25,Stable,GREEN
FC-009,150,120,30,20,Stable,GREEN
FC-010,120,90,30,25,Stable,GREEN
FC-011,500,400,100,20,Stable,GREEN
FC-012,50,38,12,24,Stable,GREEN
FC-013,100,75,25,25,Stable,GREEN
FC-014,1000,850,150,15,Stable,GREEN
FC-015,200,165,35,18,Stable,GREEN
FC-016,60,48,12,20,Stable,GREEN
FC-017,250,200,50,20,Stable,GREEN
FC-018,80,62,18,23,Stable,GREEN
FC-019,5000,4200,800,16,Stable,GREEN
FC-020,1000,850,150,15,Stable,GREEN
