from_sta,to_sta,interface_type,signal_medium,protocol_spec,power_W,data_rate,notes
08,21,Data,ARINC429,ARINC429-18,2,100kbps,Weight data to ECS
08,22,Data,ARINC429,ARINC429-18,2,100kbps,Weight/CG to autopilot
22,23,Control,ARINC429,ARINC429-18,2,100kbps,Autopilot mode annunciations
22,24,Power,28VDC,MIL-STD-704,50,N/A,Primary power to AFCS
22,31,Data,ARINC429,ARINC429-18,2,100kbps,Flight director commands
22,34,Data,ARINC429,ARINC429-18,2,100kbps,Nav data to autopilot
22,42,Data,ARINC429,ARINC429-18,2,100kbps,IMA integration
22,76,Control,ARINC429,ARINC429-18,2,100kbps,Autothrottle commands
22,77,Data,ARINC429,ARINC429-18,2,100kbps,Engine data feedback
23,31,Data,ARINC429,ARINC429-18,2,100kbps,Audio to displays
23,43,Audio,Analog,Various,5,N/A,PA system routing
23,44,Control,ARINC429,ARINC429-18,2,100kbps,Cabin comms coordination
23,92,Power,28VDC,MIL-STD-704,100,N/A,Power to comm radios
23,93,Data,ARINC664,AFDX,5,100Mbps,Central system coordination
44,21,Control,ARINC429,ARINC429-18,2,100kbps,Cabin zone temperature commands
44,24,Power,28VDC,MIL-STD-704,200,N/A,Cabin systems power
44,43,Audio,Analog,Various,10,N/A,PA system control
44,93,Data,ARINC664,AFDX,5,100Mbps,Cabin system status
45,24,Power,28VDC,MIL-STD-704,50,N/A,CMC power
45,31,Data,ARINC429,ARINC429-18,2,100kbps,Maintenance messages to displays
45,42,Data,ARINC664,AFDX,5,100Mbps,BITE results via IMA
45,93,Data,ARINC664,AFDX,5,100Mbps,Health monitoring data
76,22,Data,ARINC429,ARINC429-18,2,100kbps,Thrust mode feedback
76,71,Control,FADEC,Proprietary,20,1Mbps,Engine control commands
76,72,Control,FADEC,Proprietary,20,1Mbps,Fuel flow control
76,77,Data,ARINC429,ARINC429-18,2,100kbps,Engine indicating
76,93,Data,ARINC664,AFDX,5,100Mbps,Engine control status
93,08,Data,ARINC664,AFDX,5,100Mbps,Weight/balance monitoring
93,22,Control,ARINC664,AFDX,5,100Mbps,Flight control coordination
93,23,Control,ARINC664,AFDX,5,100Mbps,Comms system orchestration
93,24,Monitoring,ARINC664,AFDX,5,100Mbps,Electrical system health
93,44,Control,ARINC664,AFDX,5,100Mbps,Cabin system orchestration
93,45,Data,ARINC664,AFDX,5,100Mbps,Maintenance data aggregation
93,76,Control,ARINC664,AFDX,5,100Mbps,Engine control supervision
93,92,Monitoring,ARINC664,AFDX,5,100Mbps,EWIS health monitoring
93,94,Data,ARINC664,AFDX,5,100Mbps,Integrated systems data
