Rule_ID,Category,Description,Severity,ObjectPath,AllowedFlag,Values
AMP360-BREX-001,IDS & Metadata,DM must contain <dmCode>,ERROR,//identAndStatusSection[not(dmAddress/dmIdent/dmCode)],0,""
AMP360-BREX-002,IDS & Metadata,DM must contain <language>,ERROR,//identAndStatusSection[not(dmAddress/dmIdent/language)],0,""
AMP360-BREX-003,IDS & Metadata,DM must contain <issueInfo>,ERROR,//identAndStatusSection[not(dmAddress/dmIdent/issueInfo)],0,""
AMP360-BREX-004,IDS & Metadata,DM must contain <issueDate>,ERROR,//identAndStatusSection[not(dmAddress/dmAddressItems/issueDate)],0,""
AMP360-BREX-005,IDS & Metadata,DM must contain <responsiblePartnerCompany>,ERROR,//identAndStatusSection[not(dmAddress/dmAddressItems/responsiblePartnerCompany)],0,""
AMP360-BREX-006,IDS & Metadata,DM must contain <security>,ERROR,//identAndStatusSection[not(dmStatus/security)],0,""
AMP360-BREX-007,IDS & Metadata,DM must contain <qualityAssurance>,ERROR,//identAndStatusSection[not(dmStatus/qualityAssurance)],0,""
AMP360-BREX-008,IDS & Metadata,DM should contain <originator>,WARN,//identAndStatusSection[not(dmAddress/dmAddressItems/originator)],0,""
AMP360-BREX-009,IDS & Metadata,<content> must not be empty,ERROR,//content[not(node())],0,""
AMP360-BREX-010,IDS & Metadata,<preliminary> not allowed in released content,ERROR,//dmStatus[@issueType='status']/preliminary,0,""
AMP360-BREX-011,IDS & Metadata,Prohibit placeholder text (TBD/???/INSERT),ERROR,//*[contains(text(),'TBD') or contains(text(),'???') or contains(text(),'INSERT')],0,""
AMP360-BREX-012,IDS & Metadata,<emphasis> discouraged (ASD-STE style),WARN,//emphasis,0,""
AMP360-BREX-013,IDS & Metadata,<externalRef> must include @xlink:href,ERROR,//externalRef[not(@xlink:href)],0,""
AMP360-BREX-014,IDS & Metadata,xml:id values must be unique,ERROR,//*/@id[. = following::*/@id],0,""
AMP360-BREX-015,IDS & Metadata,<security> mandatory within <dmStatus>,ERROR,//dmStatus[not(security)],0,""
AMP360-BREX-016,IDS & Metadata,<qualityAssurance> mandatory within <dmStatus>,ERROR,//dmStatus[not(qualityAssurance)],0,""
AMP360-BREX-017,IDS & Metadata,@modelIdentCode required,ERROR,//dmCode[not(@modelIdentCode)],0,""
AMP360-BREX-018,IDS & Metadata,@systemDiffCode required,ERROR,//dmCode[not(@systemDiffCode)],0,""
AMP360-BREX-019,IDS & Metadata,@infoCode required,ERROR,//dmCode[not(@infoCode)],0,""
AMP360-BREX-020,IDS & Metadata,@itemLocationCode required,ERROR,//dmCode[not(@itemLocationCode)],0,""
AMP360-BREX-021,DMC & Ownership,@modelIdentCode must be AMP360,ERROR,//dmAddress/dmIdent/dmCode/@modelIdentCode,2,AMP360
AMP360-BREX-022,DMC & Ownership,@systemDiffCode must be AAA,ERROR,//dmAddress/dmIdent/dmCode/@systemDiffCode,2,AAA
AMP360-BREX-023,DMC & Ownership,@disassyCodeVariant must be 0-9,ERROR,//dmAddress/dmIdent/dmCode/@disassyCodeVariant,2,"0,1,2,3,4,5,6,7,8,9"
AMP360-BREX-024,DMC & Ownership,@assyCode must be 00A,ERROR,//dmAddress/dmIdent/dmCode/@assyCode,2,00A
AMP360-BREX-025,DMC & Ownership,@itemLocationCode must be A,ERROR,//dmAddress/dmIdent/dmCode/@itemLocationCode,2,A
AMP360-BREX-026,DMC & Ownership,responsiblePartnerCompany/@enterpriseCode must be AAA,ERROR,//dmAddress/dmAddressItems/responsiblePartnerCompany/@enterpriseCode,2,AAA
AMP360-BREX-027,DMC & Ownership,qualityAssurance/@qaResponsiblePartnerCompany must be AAA,ERROR,//dmStatus/qualityAssurance/@qaResponsiblePartnerCompany,2,AAA
AMP360-BREX-028,DMC & Ownership,issueInfo/@inWork must be 00-99,ERROR,//issueInfo[not(@inWork)],0,""
AMP360-BREX-029,DMC & Ownership,issueInfo/@issueNumber must be 000-999,ERROR,//issueInfo[not(@issueNumber)],0,""
AMP360-BREX-030,DMC & Ownership,language/@countryIsoCode must be US,ERROR,//dmAddress/dmIdent/language/@countryIsoCode,2,US
AMP360-BREX-031,Language & Localization,language/@languageIsoCode must be en,ERROR,//dmAddress/dmIdent/language/@languageIsoCode,2,en
AMP360-BREX-032,Language & Localization,"Prefer U.S. spelling (""color"", not ""colour"")",WARN,//*[contains(text(),'colour')],0,""
AMP360-BREX-033,Language & Localization,"Prefer U.S. spelling (""center"", not ""centre"")",WARN,//*[contains(text(),'centre')],0,""
AMP360-BREX-034,Language & Localization,"Avoid ""approx."""", specify tolerances",WARN,//*[contains(text(),'approx.')],0,""
AMP360-BREX-035,Language & Localization,Avoid "should" in steps (imperative voice),WARN,//proceduralStep//*[contains(text(),'should')],0,""
AMP360-BREX-036,Language & Localization,Avoid "may" in steps (be explicit),WARN,//proceduralStep//*[contains(text(),'may')],0,""
AMP360-BREX-037,Language & Localization,Avoid passive voice ("shall be"),WARN,//proceduralStep//*[contains(text(),'shall be')],0,""
AMP360-BREX-038,Language & Localization,Prefer sentences ≤ 25 words,WARN,//para[string-length(.) > 500],0,""
AMP360-BREX-039,Language & Localization,Do not put safety messages inside <note>,ERROR,//note//warning | //note//caution,0,""
AMP360-BREX-040,Language & Localization,Avoid trademarks/brands in tech prose,WARN,//*[contains(text(),'™') or contains(text(),'®')],0,""
AMP360-BREX-041,Security & QA,securityClassification must be 01-05,ERROR,//security/@securityClassification,2,"01,02,03,04,05"
AMP360-BREX-042,Security & QA,commercialExportControl must be declared,ERROR,//security[not(@commercialExportControl)],0,""
AMP360-BREX-043,Security & QA,qaReviewed attribute must be present,ERROR,//qualityAssurance[not(@qaReviewed)],0,""
AMP360-BREX-044,Security & QA,qaReviewed must be true or false,ERROR,//qualityAssurance/@qaReviewed,2,"true,false"
AMP360-BREX-045,Security & QA,Default security is "01 Unclassified" (advisory),WARN,//security[@securityClassification!='01'],0,""
AMP360-BREX-046,Security & QA,"If ""ITAR"" present, ensure export metadata",ERROR,//*[contains(text(),'ITAR')][not(ancestor::dmStatus/security/@commercialExportControl='true')],0,""
AMP360-BREX-047,Security & QA,"If ""EAR"" present, ensure export metadata",ERROR,//*[contains(text(),'EAR')][not(ancestor::dmStatus/security/@commercialExportControl='true')],0,""
AMP360-BREX-048,Security & QA,Changed issues should include reasonForUpdate,WARN,//dmStatus[@issueType='changed'][not(reasonForUpdate)],0,""
AMP360-BREX-049,Security & QA,issueType='deleted' must have no residual content,ERROR,//dmStatus[@issueType='deleted']//content[node()],0,""
AMP360-BREX-050,Security & QA,Released DMs must have inWork='00',ERROR,//dmStatus[@issueType='status']//issueInfo[@inWork!='00'],0,""
AMP360-BREX-051,Applicability & ACT,@applicRefId must not be empty,ERROR,//*[@applicRefId=''],0,""
AMP360-BREX-052,Applicability & ACT,<applic> blocks must not be empty,ERROR,//applic[not(node())],0,""
AMP360-BREX-053,Applicability & ACT,Applicability should use cond/prodattr/lifecycle,WARN,//applic[not(cond or prodattr or lifecycle)],0,""
AMP360-BREX-054,Applicability & ACT,ACT references must not be empty,ERROR,//actRef[not(@applicRefId)],0,""
AMP360-BREX-055,Applicability & ACT,<effectivity> must contain a condition or S/N range,ERROR,//effectivity[not(cond or serialNumber)],0,""
AMP360-BREX-056,Applicability & ACT,<serialNumber> ranges require from/to,ERROR,//serialNumber[not(@from) or not(@to)],0,""
AMP360-BREX-057,Applicability & ACT,Negated applicability should reference an ACT key,WARN,//negatedApplic[not(@applicRefKey)],0,""
AMP360-BREX-058,Applicability & ACT,Prefer ACT keys for applicability where possible,WARN,//applic[not(@applicRefId)],0,""
AMP360-BREX-059,Applicability & ACT,applicRefKey entries require @id,ERROR,//applicRefKey[not(@id)],0,""
AMP360-BREX-060,Applicability & ACT,<applic> must be scoped within <content>,ERROR,//applic[not(ancestor::content)],0,""
AMP360-BREX-061,Procedural Structure,<procedure> must contain <proceduralStep>,ERROR,//procedure[not(proceduralStep)],0,""
AMP360-BREX-062,Procedural Structure,Each <proceduralStep> must contain <stepPara>,ERROR,//proceduralStep[not(stepPara)],0,""
AMP360-BREX-063,Procedural Structure,No nested <sequentialList>,ERROR,//sequentialList//sequentialList,0,""
AMP360-BREX-064,Procedural Structure,No nested <randomList>,ERROR,//randomList//randomList,0,""
AMP360-BREX-065,Procedural Structure,List nesting depth > 2 not allowed,ERROR,//randomList//randomList//randomList | //sequentialList//sequentialList//sequentialList,0,""
AMP360-BREX-066,Procedural Structure,Do not nest <warning>/<caution> inside each other,ERROR,//warning//caution | //caution//warning,0,""
AMP360-BREX-067,Procedural Structure,"Prefer figures at step level, not inside stepPara",WARN,//stepPara//figure,0,""
AMP360-BREX-068,Procedural Structure,<prereq> must not be empty,ERROR,//prereq[not(node())],0,""
AMP360-BREX-069,Procedural Structure,<closeRqmts> must not be empty,ERROR,//closeRqmts[not(node())],0,""
AMP360-BREX-070,Procedural Structure,Declare manpower explicitly in <requiredPersons>,WARN,//preliminaryRqmts[not(requiredPersons)],0,""
AMP360-BREX-071,Procedural Structure,<tools> cannot be empty when present,ERROR,//tools[not(node())],0,""
AMP360-BREX-072,Procedural Structure,<consumables> cannot be empty when present,ERROR,//consumables[not(node())],0,""
AMP360-BREX-073,Procedural Structure,<spares> cannot be empty when present,ERROR,//spares[not(node())],0,""
AMP360-BREX-074,Procedural Structure,Avoid permissive/passive in stepPara,WARN,//stepPara[contains(text(),'may') or contains(text(),'should')],0,""
AMP360-BREX-075,Procedural Structure,Avoid vague adverbs in stepPara,WARN,//stepPara[contains(text(),'carefully') or contains(text(),'properly')],0,""
AMP360-BREX-076,Fault Isolation,<faultIsolation> must contain decisions,ERROR,//faultIsolation[not(fiDecision)],0,""
AMP360-BREX-077,Fault Isolation,Every <fiDecision> has both fiYes and fiNo,ERROR,//fiDecision[not(fiYes) or not(fiNo)],0,""
AMP360-BREX-078,Fault Isolation,Decision nesting depth ≤ 2,WARN,//fiDecision//fiDecision//fiDecision,0,""
AMP360-BREX-079,Fault Isolation,<fiAction> should reference procedures/tests,WARN,//fiAction[not(@refId or procedureRef)],0,""
AMP360-BREX-080,Fault Isolation,<test> must state acceptance criteria,ERROR,//test[not(acceptanceCriteria)],0,""
AMP360-BREX-081,Fault Isolation,<test> should list required tools,WARN,//test[not(tools)],0,""
AMP360-BREX-082,Fault Isolation,<symptom> must not be empty,ERROR,//symptom[not(node())],0,""
AMP360-BREX-083,Fault Isolation,No safety inside FI notes,ERROR,//faultIsolation//note//warning | //faultIsolation//note//caution,0,""
AMP360-BREX-084,Fault Isolation,No empty list items in FI,ERROR,//faultIsolation//listItem[not(node())],0,""
AMP360-BREX-085,Fault Isolation,internalRefId required in FI references,ERROR,//faultIsolation//internalRef[not(@internalRefId)],0,""
AMP360-BREX-086,Illustrations & Graphics,<graphic> requires @xlink:href,ERROR,//graphic[not(@xlink:href)],0,""
