from_sta,to_sta,interface_type,signal_medium,protocol_spec,power_W,data_rate,notes
IIS,23,data,ARINC664,AFDX,0,100Mbps,Communication system data exchange
IIS,24,power,electrical,DO-160,2000,N/A,Power supply for IIS components
IIS,31,data,ARINC429,ARINC429,0,100kbps,Instrument data to IIS
IIS,34,data,ARINC664,AFDX,0,100Mbps,Navigation data to IIS
IIS,42,data,ARINC664,AFDX,0,1Gbps,IMA core data exchange
IIS,44,data,ARINC664,AFDX,0,100Mbps,Cabin system monitoring
IIS,45,data,ARINC429,ARINC429,0,100kbps,Maintenance system data
IIS,46,data,ARINC664,AFDX,0,1Gbps,Internal IIS networking
IIS,71,data,ARINC664,AFDX,0,100Mbps,Powerplant monitoring data
IIS,72,data,ARINC664,AFDX,0,100Mbps,Engine parameter monitoring
IIS,92,electrical,wire_harness,MIL-DTL-38999,500,N/A,Electrical wiring integration
IIS,93,data,Ethernet,TCP/IP,0,1Gbps,Ground support equipment interface
IIS,94,data,Ethernet,TCP/IP,0,100Mbps,Training system data feeds
