REQ_ID,SOURCE,EVIDENCE_URI,QS_ANCHOR,STATUS,VERIFICATION_METHOD
REQ-AMPEL-001,EASA SC-H2 Draft v0.3 §4.2.1,03-TRACEABILITY/EVIDENCE/H2_LEAK_TEST_REPORT_v2.3.pdf,Q100_STD01@v2.3,VERIFIED,Physical test
REQ-AMPEL-002,Clean Aviation WP3 D3.1,03-TRACEABILITY/EVIDENCE/BOILOFF_ANALYSIS_v2.3.xlsx,Q100_STD01@v2.3,VERIFIED,Simulation
REQ-AMPEL-003,ATA-28 §28.10,03-TRACEABILITY/EVIDENCE/FUEL_SYSTEM_VALIDATION_v2.3.pdf,Q100_STD01@v2.3,VERIFIED,Design review
REQ-AMPEL-004,Internal Spec IS-AMPEL-PWR-001,03-TRACEABILITY/EVIDENCE/POWER_DISTRIBUTION_TEST_v2.3.csv,Q100_STD01@v2.3,VERIFIED,Electrical test
REQ-AMPEL-005,EASA CS-25 §25.901,03-TRACEABILITY/EVIDENCE/PROPULSION_INTEGRATION_v2.3.pdf,Q100_STD01@v2.3,VERIFIED,Analysis + test
REQ-AMPEL-006,Clean Aviation KPI-002,03-TRACEABILITY/EVIDENCE/EMISSIONS_CALC_v2.3.xlsx,Q100_STD01@v2.3,VERIFIED,Calculation
REQ-AMPEL-007,ATA-24 §24.30,03-TRACEABILITY/EVIDENCE/BATTERY_SAFETY_TEST_v2.3.pdf,Q100_STD01@v2.3,VERIFIED,Physical test
REQ-AMPEL-008,Internal Spec IS-AMPEL-FWD-001,03-TRACEABILITY/EVIDENCE/MISSION_PROFILE_SIM_v2.3.dat,Q100_STD01@v2.3,VERIFIED,Mission simulation
REQ-AMPEL-009,EASA SC-H2 Draft v0.3 §5.1.2,03-TRACEABILITY/EVIDENCE/CRYOGENIC_INSULATION_TEST_v2.3.pdf,Q100_STD01@v2.3,VERIFIED,Thermal test
REQ-AMPEL-010,ATA-51 §51.20,03-TRACEABILITY/EVIDENCE/STRUCTURAL_ANALYSIS_FEM_v2.3.res,Q100_STD01@v2.3,VERIFIED,FEA analysis
