Parameter,Value,Unit,Source,Linked Feature,Notes
FS_POSITION,350,mm,BH-STA350.yaml,FS_350,"Fuselage station for bulkhead placement"
PRESSURE_LOAD,61.2,kPa,BH_BULKHEAD_PARAMS.csv,Perimeter Curve,"Derived from BH-STA500 * 1.05"
CURVATURE_RADIUS,1385,mm,FUSELAGE_PROFILE(FS=350),Perimeter Curve,"Interpolated from fuselage geometry"
HOLE_COUNT,10,--,FRAME_INTERFACE_SKETCH,Frame Interface,"Radial pattern for structural connection"
HOLE_DIAMETER,6.35,mm,FRAME_INTERFACE_SKETCH,Frame Interface,"Standard fastener size"
HOLE_SPACING,variable,mm,FRAME_INTERFACE_SKETCH,Frame Interface,"Linked to fuselage curvature"
MATERIAL_SPEC,AL-2024-T3,--,BH-STA350.yaml,All,"Structural aluminum alloy"
THICKNESS,5.5,mm,BH_BULKHEAD_PARAMS.csv,All,"Nominal bulkhead thickness"
DATUM_FS_350,350,mm,CENTER_BODY_ASM,FS_350,"Datum plane X-position"
DATUM_BL_0,0,mm,CENTER_BODY_ASM,BL_0,"Datum plane Y-position"
DATUM_WL_0,0,mm,CENTER_BODY_ASM,WL_0,"Datum plane Z-position"
COORD_SYS,BH_STA350_CS,--,BH-STA350_SKEL.prt,All,"Local coordinate system for bulkhead"
PERIMETER_CURVE,FUSELAGE_FS350.curve,--,SHARED/PERIMETER_PROFILES,Perimeter Curve,"Imported from shared geometry library"
FRAME_INTERFACE_SKETCH,FRAME_10HOLE.sketch,--,SHARED/PERIMETER_PROFILES,Frame Interface,"Imported from shared sketch library"
MODEL_CHECK_CONFIG,LINT/modelcheck_rules.txt,--,modelcheck.yml,Validation,"Validation ruleset for CI"
MC_VERIFIED,TRUE,--,modelcheck.yml,Validation,"ModelCHECK passed"
MC_ERRORS,0,--,modelcheck.yml,Validation,"No geometry or constraint errors"
BADGE,BH-STA350_SKEL_VALIDATED,--,IDEALE.eu/registry/bulkheads,Validation,"Issued upon successful validation"
