from_ata,to_ata,interface,signal_or_medium,protocol/spec,notes
OOO,AAA,Standard Practices,Documentation,ATA iSpec 2200,Airframe standards reference
OOO,CCC,Cabin Standards,Documentation,ATA iSpec 2200,Cabin design standards
OOO,CQH,H2 Standards,Documentation,SAE standards,Cryogenic H2 system standards
OOO,DDD,Environmental Standards,Documentation,EASA CS-25,Drainage system standards
OOO,EDI,Instrument Standards,Documentation,ARINC specs,Digital instrument standards
OOO,EEE,Electrical Standards,Documentation,DO-160,Electrical system standards
OOO,EER,Emissions Standards,Documentation,ICAO Annex 16,Environmental standards
OOO,IIF,Infrastructure Standards,Documentation,ISO standards,Facility and MGSE standards
OOO,IIS,Info System Standards,Documentation,DO-178C,Software standards
OOO,LCC,Control Standards,Documentation,ARINC 653,Flight control standards
OOO,MMM,Mechanical Standards,Documentation,MMPDS,Materials and processes
OOO,PPP,Propulsion Standards,Documentation,CS-E,Engine standards
OOO,92,EWIS Standards,Documentation,ATA 92,Wiring standards
OOO,93,Certification Standards,Documentation,EASA Part 21,Certification procedures
OOO,100,QMS Standards,Documentation,AS9100,Quality management standards
