from_ata,to_ata,interface,signal_or_medium,protocol/spec,notes
23-COMMUNICATIONS_RF_LINKS,06-DIMENSIONS_STATIONS,MOUNTING_DATUMS,mechanical,GD&T per 06,Primary/secondary datums; keep-outs
23-COMMUNICATIONS_RF_LINKS,51-STRUCTURES,MOUNTING_HOLES,mechanical,ISO 4762 M6 / ECSS fasteners,Shock/vibe loads and torque spec
23-COMMUNICATIONS_RF_LINKS,51-STRUCTURES,GROUND_BOND,strap,bonding ≤2.5 mΩ / ECSS-E-ST-20-07,Single-point ground scheme
23-COMMUNICATIONS_RF_LINKS,21-THERMAL_CONTROL,PA_COLDPLATE,thermal path,TIM spec / flatness ≤0.05 mm,Rejects PA waste heat [W]
23-COMMUNICATIONS_RF_LINKS,21-THERMAL_CONTROL,LNA_MOUNT_THERM,thermal path,TIM spec / survival −40…+85 °C,Gradient limit per 21
23-COMMUNICATIONS_RF_LINKS,24-ELECTRICAL_POWER,PA_SUPPLY_28V,power,28 VDC, inrush ≤X A,SSPC channel via 39-40
23-COMMUNICATIONS_RF_LINKS,24-ELECTRICAL_POWER,LNA_SUPPLY_28V,power,28 VDC, ripple ≤100 mVpp,Noise per NF target
23-COMMUNICATIONS_RF_LINKS,24-ELECTRICAL_POWER,CONVERTER_AUX,power,±12 V / +5 V (if used),From 24-60 converters
23-COMMUNICATIONS_RF_LINKS,41-TIME_CLOCK,REF_10MHZ,signal,10 MHz sine 0 dBm ±0.5 dB,Phase noise mask per link plan
23-COMMUNICATIONS_RF_LINKS,41-TIME_CLOCK,REF_1PPS,signal,LVTTL 3.3 V,Δt alignment ≤100 ns
23-COMMUNICATIONS_RF_LINKS,42-AVIONICS_COMPUTERS_IMA,RF_CMD_TM,databus,via 93 (1553B/SpW/ETH),Endpoints hosted in 42-10
23-COMMUNICATIONS_RF_LINKS,93-DATABUS_NETWORKS,CTRL_LINK,databus,1553B RTx2 or SpaceWire 100 Mb/s,Select one per CDR
23-COMMUNICATIONS_RF_LINKS,15-DATA_HANDLING,BASEBAND_IF,data,CCSDS baseband I/Q (LVDS) or IF coax,Option if baseband handled in 15
23-COMMUNICATIONS_RF_LINKS,48-ANTENNAS_RF_FEEDS,TX_FEED,RF medium,WR-112/90 WG or SMA/K coax,VSWR ≤1.5; polarization per ICD
23-COMMUNICATIONS_RF_LINKS,48-ANTENNAS_RF_FEEDS,RX_FEED,RF medium,WG/coax,Noise figure chain budget
23-COMMUNICATIONS_RF_LINKS,48-ANTENNAS_RF_FEEDS,DIPLEXER_IF,RF medium,coax,Isolation ≥60 dB TX↔RX
23-COMMUNICATIONS_RF_LINKS,97-HARNESS_EWIS,RF_COAX_RUN,RF cable,RG-402/TFlex; SMA/K,Route/EMC and min bend radius
23-COMMUNICATIONS_RF_LINKS,97-HARNESS_EWIS,CTRL_HARNESS,signal,1553/SpW/CAN harness,Shield termination rules per 97
23-COMMUNICATIONS_RF_LINKS,97-HARNESS_EWIS,POWER_FEEDS,power,28 VDC cables,Wire gauge, derating, color code
23-COMMUNICATIONS_RF_LINKS,06-DIMENSIONS_STATIONS,LABELING_MARKING,marking,ECSS-Q-ST-70-61C,Unit ID, RF ports, arrows
